Temperature             Voltage	
3.723565191	1.731192791
3.725575084	1.731073392
3.727591824	1.730953993
3.72961638	1.730834595
3.731649722	1.730715196
3.733692732	1.730595798
3.735745639	1.730476399
3.737808365	1.730357
3.739880831	1.730237602
3.741962959	1.730118203
3.744054669	1.729998805
3.746155884	1.729879406
3.748266525	1.729760007
3.750386512	1.729640609
3.752515768	1.72952121
3.754654213	1.729401812
3.756801769	1.729282413
3.758958357	1.729163014
3.761123898	1.729043616
3.763298314	1.728924217
3.765481527	1.728804819
3.767673456	1.72868542
3.769874025	1.728566021
3.772083153	1.728446623
3.774300763	1.728327224
3.776526775	1.728207826
3.778761112	1.728088427
3.781003693	1.727969028
3.783254442	1.72784963
3.785513278	1.727730231
3.787780123	1.727610833
3.790054899	1.727491434
3.792337527	1.727372035
3.794627928	1.727252637
3.796926024	1.727133238
3.799231735	1.727013839
3.801544983	1.726894441
3.80386569	1.726775042
3.806193777	1.726655644
3.808529164	1.726536245
3.810871774	1.726416846
3.813221528	1.726297448
3.815578347	1.726178049
3.817942152	1.726058651
3.820312864	1.725939252
3.822690406	1.725819853
3.825074698	1.725700455
3.827465661	1.725581056
3.829863218	1.725461658
3.832267288	1.725342259
3.834677794	1.72522286
3.837094657	1.725103462
3.839517798	1.724984063
3.841947139	1.724864665
3.8443826	1.724745266
3.846824103	1.724625867
3.84927157	1.724506469
3.851724922	1.72438707
3.854184079	1.724267672
3.856648964	1.724148273
3.859119498	1.724028874
3.861595601	1.723909476
3.864077196	1.723790077
3.866564204	1.723670679
3.869056545	1.72355128
3.871554142	1.723431881
3.874056915	1.723312483
3.876564786	1.723193084
3.879077676	1.723073686
3.881595507	1.722954287
3.8841182	1.722834888
3.886645675	1.72271549
3.889177856	1.722596091
3.891714662	1.722476692
3.894256015	1.722357294
3.896801836	1.722237895
3.899352047	1.722118497
3.901906569	1.721999098
3.904465324	1.721879699
3.907028232	1.721760301
3.909595215	1.721640902
3.912166194	1.721521504
3.914741091	1.721402105
3.917319827	1.721282706
3.919902323	1.721163308
3.922488501	1.721043909
3.925078281	1.720924511
3.927671586	1.720805112
3.930268336	1.720685713
3.932868453	1.720566315
3.935471858	1.720446916
3.938078472	1.720327518
3.940688217	1.720208119
3.943301015	1.72008872
3.945916785	1.719969322
3.94853545	1.719849923
3.951156932	1.719730525
3.95378115	1.719611126
3.956408028	1.719491727
3.959037485	1.719372329
3.961669443	1.71925293
3.964303824	1.719133532
3.966940549	1.719014133
3.969579539	1.718894734
3.972220716	1.718775336
3.974864	1.718655937
3.977509314	1.718536538
3.980156578	1.71841714
3.982805714	1.718297741
3.985456643	1.718178343
3.988109286	1.718058944
3.990763565	1.717939545
3.993419401	1.717820147
3.996076715	1.717700748
3.99873543	1.71758135
4.001395465	1.717461951
4.004056742	1.717342552
4.006719183	1.717223154
4.009382709	1.717103755
4.012047241	1.716984357
4.014712701	1.716864958
4.017379009	1.716745559
4.020046088	1.716626161
4.022713858	1.716506762
4.025382241	1.716387364
4.028051158	1.716267965
4.030720531	1.716148566
4.03339028	1.716029168
4.036060328	1.715909769
4.038730595	1.715790371
4.041401002	1.715670972
4.044071472	1.715551573
4.046741925	1.715432175
4.049412282	1.715312776
4.052082465	1.715193378
4.054752396	1.715073979
4.057421996	1.71495458
4.060091185	1.714835182
4.062759885	1.714715783
4.065428018	1.714596384
4.068095505	1.714476986
4.070762267	1.714357587
4.073428225	1.714238189
4.076093302	1.71411879
4.078757417	1.713999391
4.081420493	1.713879993
4.08408245	1.713760594
4.086743211	1.713641196
4.089402696	1.713521797
4.092060826	1.713402398
4.094717524	1.713283
4.09737271	1.713163601
4.100026306	1.713044203
4.102678262	1.712924804
4.105328579	1.712805405
4.10797726	1.712686007
4.11062431	1.712566608
4.113269734	1.71244721
4.115913535	1.712327811
4.118555717	1.712208412
4.121196286	1.712089014
4.123835246	1.711969615
4.1264726	1.711850217
4.129108354	1.711730818
4.131742511	1.711611419
4.134375076	1.711492021
4.137006053	1.711372622
4.139635447	1.711253224
4.142263262	1.711133825
4.144889502	1.711014426
4.147514171	1.710895028
4.150137275	1.710775629
4.152758817	1.71065623
4.155378801	1.710536832
4.157997232	1.710417433
4.160614115	1.710298035
4.163229453	1.710178636
4.165843251	1.710059237
4.168455513	1.709939839
4.171066244	1.70982044
4.173675447	1.709701042
4.176283128	1.709581643
4.178889291	1.709462244
4.181493939	1.709342846
4.184097078	1.709223447
4.186698712	1.709104049
4.189298844	1.70898465
4.191897479	1.708865251
4.194494623	1.708745853
4.197090278	1.708626454
4.199684449	1.708507056
4.202277141	1.708387657
4.204868359	1.708268258
4.207458105	1.70814886
4.210046385	1.708029461
4.212633203	1.707910063
4.215218563	1.707790664
4.21780247	1.707671265
4.220384928	1.707551867
4.222965941	1.707432468
4.225545514	1.70731307
4.22812365	1.707193671
4.230700356	1.707074272
4.233275633	1.706954874
4.235849488	1.706835475
4.238421924	1.706716077
4.240992946	1.706596678
4.243562558	1.706477279
4.246130764	1.706357881
4.248697568	1.706238482
4.251262976	1.706119083
4.253826991	1.705999685
4.256389618	1.705880286
4.25895086	1.705760888
4.261510723	1.705641489
4.264069211	1.70552209
4.266626328	1.705402692
4.269182078	1.705283293
4.271736466	1.705163895
4.274289496	1.705044496
4.276841172	1.704925097
4.279391499	1.704805699
4.281940481	1.7046863
4.284488122	1.704566902
4.287034427	1.704447503
4.2895794	1.704328104
4.292123045	1.704208706
4.294665367	1.704089307
4.29720637	1.703969909
4.299746059	1.70385051
4.302284437	1.703731111
4.304821509	1.703611713
4.30735728	1.703492314
4.309891753	1.703372916
4.312424934	1.703253517
4.314956826	1.703134118
4.317487433	1.70301472
4.320016761	1.702895321
4.322544813	1.702775923
4.325071594	1.702656524
4.327597108	1.702537125
4.330121359	1.702417727
4.332644352	1.702298328
4.335166091	1.702178929
4.33768658	1.702059531
4.340205825	1.701940132
4.342723828	1.701820734
4.345240595	1.701701335
4.347756129	1.701581936
4.350270436	1.701462538
4.352783519	1.701343139
4.355295383	1.701223741
4.357806032	1.701104342
4.36031547	1.700984943
4.362823702	1.700865545
4.365330732	1.700746146
4.367836565	1.700626748
4.370341205	1.700507349
4.372844655	1.70038795
4.375346921	1.700268552
4.377848007	1.700149153
4.380347917	1.700029755
4.382846655	1.699910356
4.385344227	1.699790957
4.387840635	1.699671559
4.390335885	1.69955216
4.39282998	1.699432762
4.395322926	1.699313363
4.397814726	1.699193964
4.400305385	1.699074566
4.402794907	1.698955167
4.405283297	1.698835769
4.407770559	1.69871637
4.410256696	1.698596971
4.412741714	1.698477573
4.415225617	1.698358174
4.417708409	1.698238775
4.420190095	1.698119377
4.422670678	1.697999978
4.425150164	1.69788058
4.427628556	1.697761181
4.430105859	1.697641782
4.432582077	1.697522384
4.435057215	1.697402985
4.437531276	1.697283587
4.440004266	1.697164188
4.442476188	1.697044789
4.444947047	1.696925391
4.447416847	1.696805992
4.449885593	1.696686594
4.452353289	1.696567195
4.454819939	1.696447796
4.457285547	1.696328398
4.459750118	1.696208999
4.462213657	1.696089601
4.464676166	1.695970202
4.467137652	1.695850803
4.469598118	1.695731405
4.472057569	1.695612006
4.474516008	1.695492608
4.476973441	1.695373209
4.479429871	1.69525381
4.481885303	1.695134412
4.484339742	1.695015013
4.486793191	1.694895615
4.489245654	1.694776216
4.491697138	1.694656817
4.494147644	1.694537419
4.496597179	1.69441802
4.499045745	1.694298621
4.501493349	1.694179223
4.503939993	1.694059824
4.506385683	1.693940426
4.508830422	1.693821027
4.511274215	1.693701628
4.513717066	1.69358223
4.51615898	1.693462831
4.51859996	1.693343433
4.521040013	1.693224034
4.52347914	1.693104635
4.525917348	1.692985237
4.52835464	1.692865838
4.53079102	1.69274644
4.533226493	1.692627041
4.535661064	1.692507642
4.538094736	1.692388244
4.540527515	1.692268845
4.542959403	1.692149447
4.545390406	1.692030048
4.547820528	1.691910649
4.550249774	1.691791251
4.552678147	1.691671852
4.555105652	1.691552454
4.557532293	1.691433055
4.559958075	1.691313656
4.562383002	1.691194258
4.564807078	1.691074859
4.567230308	1.690955461
4.569652695	1.690836062
4.572074245	1.690716663
4.574494962	1.690597265
4.57691485	1.690477866
4.579333913	1.690358468
4.581752156	1.690239069
4.584169582	1.69011967
4.586586197	1.690000272
4.589002005	1.689880873
4.59141701	1.689761474
4.593831216	1.689642076
4.596244628	1.689522677
4.598657249	1.689403279
4.601069085	1.68928388
4.60348014	1.689164481
4.605890418	1.689045083
4.608299923	1.688925684
4.61070866	1.688806286
4.613116632	1.688686887
4.615523846	1.688567488
4.617930303	1.68844809
4.62033601	1.688328691
4.62274097	1.688209293
4.625145188	1.688089894
4.627548668	1.687970495
4.629951415	1.687851097
4.632353432	1.687731698
4.634754724	1.6876123
4.637155295	1.687492901
4.63955515	1.687373502
4.641954294	1.687254104
4.644352729	1.687134705
4.646750462	1.687015307
4.649147495	1.686895908
4.651543834	1.686776509
4.653939482	1.686657111
4.656334445	1.686537712
4.658728726	1.686418314
4.66112233	1.686298915
4.66351526	1.686179516
4.665907523	1.686060118
4.668299121	1.685940719
4.670690059	1.68582132
4.673080341	1.685701922
4.675469972	1.685582523
4.677858957	1.685463125
4.680247298	1.685343726
4.682635002	1.685224327
4.685022071	1.685104929
4.687408511	1.68498553
4.689794326	1.684866132
4.69217952	1.684746733
4.694564097	1.684627334
4.696948062	1.684507936
4.699331419	1.684388537
4.701714173	1.684269139
4.704096327	1.68414974
4.706477887	1.684030341
4.708858856	1.683910943
4.711239238	1.683791544
4.713619039	1.683672146
4.715998263	1.683552747
4.718376913	1.683433348
4.720754994	1.68331395
4.723132511	1.683194551
4.725509467	1.683075153
4.727885868	1.682955754
4.730261717	1.682836355
4.732637019	1.682716957
4.735011778	1.682597558
4.737385998	1.68247816
4.739759685	1.682358761
4.742132841	1.682239362
4.744505472	1.682119964
4.746877582	1.682000565
4.749249175	1.681881166
4.751620256	1.681761768
4.753990828	1.681642369
4.756360896	1.681522971
4.758730465	1.681403572
4.761099539	1.681284173
4.763468122	1.681164775
4.765836219	1.681045376
4.768203833	1.680925978
4.77057097	1.680806579
4.772937633	1.68068718
4.775303826	1.680567782
4.777669556	1.680448383
4.780034824	1.680328985
4.782399637	1.680209586
4.784763997	1.680090187
4.78712791	1.679970789
4.789491381	1.67985139
4.791854412	1.679731992
4.794217009	1.679612593
4.796579175	1.679493194
4.798940916	1.679373796
4.801302236	1.679254397
4.803663138	1.679134999
4.806023627	1.6790156
4.808383708	1.678896201
4.810743385	1.678776803
4.813102663	1.678657404
4.815461544	1.678538006
4.817820035	1.678418607
4.820178139	1.678299208
4.82253586	1.67817981
4.824893204	1.678060411
4.827250173	1.677941013
4.829606773	1.677821614
4.831963008	1.677702215
4.834318883	1.677582817
4.836674401	1.677463418
4.839029566	1.677344019
4.841384385	1.677224621
4.843738859	1.677105222
4.846092995	1.676985824
4.848446796	1.676866425
4.850800266	1.676747026
4.85315341	1.676627628
4.855506233	1.676508229
4.857858738	1.676388831
4.860210931	1.676269432
4.862562814	1.676150033
4.864914393	1.676030635
4.867265672	1.675911236
4.869616655	1.675791838
4.871967347	1.675672439
4.874317752	1.67555304
4.876667874	1.675433642
4.879017718	1.675314243
4.881367288	1.675194845
4.883716588	1.675075446
4.886065623	1.674956047
4.888414396	1.674836649
4.890762913	1.67471725
4.893111178	1.674597852
4.895459194	1.674478453
4.897806967	1.674359054
4.900154501	1.674239656
4.902501799	1.674120257
4.904848867	1.674000859
4.907195708	1.67388146
4.909542328	1.673762061
4.91188873	1.673642663
4.914234918	1.673523264
4.916580898	1.673403865
4.918926672	1.673284467
4.921272247	1.673165068
4.923617625	1.67304567
4.925962812	1.672926271
4.928307812	1.672806872
4.930652628	1.672687474
4.932997266	1.672568075
4.935341729	1.672448677
4.937686023	1.672329278
4.940030151	1.672209879
4.942374117	1.672090481
4.944717927	1.671971082
4.947061584	1.671851684
4.949405093	1.671732285
4.951748457	1.671612886
4.954091682	1.671493488
4.956434772	1.671374089
4.958777731	1.671254691
4.961120563	1.671135292
4.963463273	1.671015893
4.965805865	1.670896495
4.968148343	1.670777096
4.970490712	1.670657698
4.972832977	1.670538299
4.97517514	1.6704189
4.977517207	1.670299502
4.979859183	1.670180103
4.98220107	1.670060705
4.984542875	1.669941306
4.9868846	1.669821907
4.989226251	1.669702509
4.991567832	1.66958311
4.993909346	1.669463711
4.9962508	1.669344313
4.998592195	1.669224914
5.000933538	1.669105516
5.003274833	1.668986117
5.005616083	1.668866718
5.007957293	1.66874732
5.010298468	1.668627921
5.012639611	1.668508523
5.014980728	1.668389124
5.017321822	1.668269725
5.019662898	1.668150327
5.022003959	1.668030928
5.024345012	1.66791153
5.026686059	1.667792131
5.029027105	1.667672732
5.031368154	1.667553334
5.033709212	1.667433935
5.036050281	1.667314537
5.038391359	1.667195138
5.040732443	1.667075739
5.043073529	1.666956341
5.045414614	1.666836942
5.047755693	1.666717544
5.050096762	1.666598145
5.052437818	1.666478746
5.054778858	1.666359348
5.057119877	1.666239949
5.059460871	1.666120551
5.061801837	1.666001152
5.064142771	1.665881753
5.066483669	1.665762355
5.068824527	1.665642956
5.071165342	1.665523557
5.073506109	1.665404159
5.075846825	1.66528476
5.078187487	1.665165362
5.08052809	1.665045963
5.082868631	1.664926564
5.085209105	1.664807166
5.087549509	1.664687767
5.089889839	1.664568369
5.092230092	1.66444897
5.094570264	1.664329571
5.09691035	1.664210173
5.099250347	1.664090774
5.101590252	1.663971376
5.10393006	1.663851977
5.106269767	1.663732578
5.108609371	1.66361318
5.110948866	1.663493781
5.11328825	1.663374383
5.115627518	1.663254984
5.117966667	1.663135585
5.120305693	1.663016187
5.122644592	1.662896788
5.12498336	1.66277739
5.127321993	1.662657991
5.129660489	1.662538592
5.131998842	1.662419194
5.13433705	1.662299795
5.136675107	1.662180397
5.139013012	1.662060998
5.141350759	1.661941599
5.143688345	1.661822201
5.146025766	1.661702802
5.148363019	1.661583404
5.150700099	1.661464005
5.153037003	1.661344606
5.155373727	1.661225208
5.157710267	1.661105809
5.16004662	1.66098641
5.162382781	1.660867012
5.164718747	1.660747613
5.167054514	1.660628215
5.169390079	1.660508816
5.171725437	1.660389417
5.174060584	1.660270019
5.176395517	1.66015062
5.178730233	1.660031222
5.181064727	1.659911823
5.183398995	1.659792424
5.185733034	1.659673026
5.18806684	1.659553627
5.190400409	1.659434229
5.192733737	1.65931483
5.195066821	1.659195431
5.197399656	1.659076033
5.19973224	1.658956634
5.202064568	1.658837236
5.204396636	1.658717837
5.20672844	1.658598438
5.209059978	1.65847904
5.211391244	1.658359641
5.213722236	1.658240243
5.216052949	1.658120844
5.218383379	1.658001445
5.220713524	1.657882047
5.223043378	1.657762648
5.225372939	1.65764325
5.227702202	1.657523851
5.230031164	1.657404452
5.232359821	1.657285054
5.234688168	1.657165655
5.237016203	1.657046256
5.239343922	1.656926858
5.24167132	1.656807459
5.243998394	1.656688061
5.24632514	1.656568662
5.248651555	1.656449263
5.250977634	1.656329865
5.253303374	1.656210466
5.25562877	1.656091068
5.25795382	1.655971669
5.260278519	1.65585227
5.262602864	1.655732872
5.264926851	1.655613473
5.267250475	1.655494075
5.269573734	1.655374676
5.271896623	1.655255277
5.274219138	1.655135879
5.276541277	1.65501648
5.278863034	1.654897082
5.281184407	1.654777683
5.283505391	1.654658284
5.285825983	1.654538886
5.288146178	1.654419487
5.290465974	1.654300089
5.292785366	1.65418069
5.29510435	1.654061291
5.297422923	1.653941893
5.299741081	1.653822494
5.30205882	1.653703096
5.304376137	1.653583697
5.306693027	1.653464298
5.309009486	1.6533449
5.311325512	1.653225501
5.313641099	1.653106102
5.315956245	1.652986704
5.318270946	1.652867305
5.320585197	1.652747907
5.322898995	1.652628508
5.325212337	1.652509109
5.327525217	1.652389711
5.329837634	1.652270312
5.332149582	1.652150914
5.334461058	1.652031515
5.336772058	1.651912116
5.339082579	1.651792718
5.341392616	1.651673319
5.343702167	1.651553921
5.346011226	1.651434522
5.34831979	1.651315123
5.350627856	1.651195725
5.35293542	1.651076326
5.355242477	1.650956928
5.357549025	1.650837529
5.359855059	1.65071813
5.362160575	1.650598732
5.36446557	1.650479333
5.36677004	1.650359935
5.369073981	1.650240536
5.371377389	1.650121137
5.373680261	1.650001739
5.375982593	1.64988234
5.378284381	1.649762942
5.38058562	1.649643543
5.382886308	1.649524144
5.385186441	1.649404746
5.387486015	1.649285347
5.389785025	1.649165948
5.392083469	1.64904655
5.394381342	1.648927151
5.39667864	1.648807753
5.398975361	1.648688354
5.401271499	1.648568955
5.403567052	1.648449557
5.405862015	1.648330158
5.408156385	1.64821076
5.410450158	1.648091361
5.412743329	1.647971962
5.415035896	1.647852564
5.417327855	1.647733165
5.419619201	1.647613767
5.421909931	1.647494368
5.424200041	1.647374969
5.426489528	1.647255571
5.428778387	1.647136172
5.431066614	1.647016774
5.433354207	1.646897375
5.435641161	1.646777976
5.437927472	1.646658578
5.440213137	1.646539179
5.442498151	1.646419781
5.444782512	1.646300382
5.447066214	1.646180983
5.449349255	1.646061585
5.451631631	1.645942186
5.453913337	1.645822788
5.456194371	1.645703389
5.458474727	1.64558399
5.460754403	1.645464592
5.463033395	1.645345193
5.465311699	1.645225795
5.46758931	1.645106396
5.469866226	1.644986997
5.472142442	1.644867599
5.474417955	1.6447482
5.476692761	1.644628801
5.478966856	1.644509403
5.481240236	1.644390004
5.483512898	1.644270606
5.485784837	1.644151207
5.488056051	1.644031808
5.490326534	1.64391241
5.492596284	1.643793011
5.494865296	1.643673613
5.497133568	1.643554214
5.499401094	1.643434815
5.501667871	1.643315417
5.503933895	1.643196018
5.506199164	1.64307662
5.508463672	1.642957221
5.510727416	1.642837822
5.512990392	1.642718424
5.515252596	1.642599025
5.517514026	1.642479627
5.519774676	1.642360228
5.522034543	1.642240829
5.524293623	1.642121431
5.526551913	1.642002032
5.528809408	1.641882634
5.531066106	1.641763235
5.533322001	1.641643836
5.535577091	1.641524438
5.537831371	1.641405039
5.540084838	1.641285641
5.542337487	1.641166242
5.544589316	1.641046843
5.54684032	1.640927445
5.549090496	1.640808046
5.551339839	1.640688647
5.553588347	1.640569249
5.555836014	1.64044985
5.558082838	1.640330452
5.560328815	1.640211053
5.56257394	1.640091654
5.56481821	1.639972256
5.567061622	1.639852857
5.56930417	1.639733459
5.571545853	1.63961406
5.573786665	1.639494661
5.576026603	1.639375263
5.578265664	1.639255864
5.580503843	1.639136466
5.582741136	1.639017067
5.584977541	1.638897668
5.587213052	1.63877827
5.589447667	1.638658871
5.591681381	1.638539473
5.593914191	1.638420074
5.596146093	1.638300675
5.598377083	1.638181277
5.600607157	1.638061878
5.602836311	1.63794248
5.605064543	1.637823081
5.607291847	1.637703682
5.609518221	1.637584284
5.61174366	1.637464885
5.61396816	1.637345487
5.616191718	1.637226088
5.61841433	1.637106689
5.620635992	1.636987291
5.622856701	1.636867892
5.625076452	1.636748493
5.627295242	1.636629095
5.629513068	1.636509696
5.631729924	1.636390298
5.633945808	1.636270899
5.636160715	1.6361515
5.638374642	1.636032102
5.640587585	1.635912703
5.642799541	1.635793305
5.645010505	1.635673906
5.647220473	1.635554507
5.649429443	1.635435109
5.651637409	1.63531571
5.653844369	1.635196312
5.656050319	1.635076913
5.658255254	1.634957514
5.660459171	1.634838116
5.662662066	1.634718717
5.664863935	1.634599319
5.667064775	1.63447992
5.669264582	1.634360521
5.671463351	1.634241123
5.67366108	1.634121724
5.675857765	1.634002326
5.6780534	1.633882927
5.680247984	1.633763528
5.682441511	1.63364413
5.684633979	1.633524731
5.686825383	1.633405333
5.68901572	1.633285934
5.691204986	1.633166535
5.693393176	1.633047137
5.695580288	1.632927738
5.697766318	1.63280834
5.699951261	1.632688941
5.702135113	1.632569542
5.704317872	1.632450144
5.706499534	1.632330745
5.708680093	1.632211346
5.710859548	1.632091948
5.713037893	1.631972549
5.715215125	1.631853151
5.717391241	1.631733752
5.719566236	1.631614353
5.721740107	1.631494955
5.72391285	1.631375556
5.726084461	1.631256158
5.728254937	1.631136759
5.730424272	1.63101736
5.732592465	1.630897962
5.734759511	1.630778563
5.736925406	1.630659165
5.739090146	1.630539766
5.741253728	1.630420367
5.743416148	1.630300969
5.745577401	1.63018157
5.747737486	1.630062172
5.749896402	1.629942773
