Temperature Voltage	
1.6013202641	1.6951892576
1.6020004001	1.6951785604
1.6026805361	1.6951678553
1.6033606721	1.6951571422
1.6040408082	1.6951464213
1.6047209442	1.6951356924
1.6054010802	1.6951249556
1.6060812162	1.6951142109
1.6067613523	1.6951034583
1.6074414883	1.6950926979
1.6081216243	1.6950819296
1.6088017604	1.6950711534
1.6094818964	1.6950603694
1.6101620324	1.6950495776
1.6108421684	1.695038778
1.6115223045	1.6950279705
1.6122024405	1.6950171553
1.6128825765	1.6950063323
1.6135627125	1.6949955015
1.6142428486	1.6949846629
1.6149229846	1.6949738166
1.6156031206	1.6949629625
1.6162832567	1.6949521007
1.6169633927	1.6949412312
1.6176435287	1.694930354
1.6183236647	1.694919469
1.6190038008	1.6949085764
1.6196839368	1.6948976761
1.6203640728	1.6948867681
1.6210442088	1.6948758525
1.6217243449	1.6948649292
1.6224044809	1.6948539983
1.6230846169	1.6948430597
1.623764753	1.6948321135
1.624444889	1.6948211598
1.625125025	1.6948101984
1.625805161	1.6947992294
1.6264852971	1.6947882529
1.6271654331	1.6947772688
1.6278455691	1.6947662771
1.6285257051	1.6947552779
1.6292058412	1.6947442712
1.6298859772	1.6947332569
1.6305661132	1.6947222352
1.6312462492	1.6947112059
1.6319263853	1.6947001691
1.6326065213	1.6946891249
1.6332866573	1.6946780732
1.6339667934	1.694667014
1.6346469294	1.6946559474
1.6353270654	1.6946448734
1.6360072014	1.6946337919
1.6366873375	1.694622703
1.6373674735	1.6946116067
1.6380476095	1.694600503
1.6387277455	1.6945893919
1.6394078816	1.6945782734
1.6400880176	1.6945671476
1.6407681536	1.6945560144
1.6414482897	1.6945448739
1.6421284257	1.694533726
1.6428085617	1.6945225709
1.6434886977	1.6945114084
1.6441688338	1.6945002386
1.6448489698	1.6944890615
1.6455291058	1.6944778771
1.6462092418	1.6944666855
1.6468893779	1.6944554866
1.6475695139	1.6944442805
1.6482496499	1.6944330671
1.648929786	1.6944218465
1.649609922	1.6944106187
1.650290058	1.6943993837
1.650970194	1.6943881414
1.6516503301	1.694376892
1.6523304661	1.6943656355
1.6530106021	1.6943543717
1.6536907381	1.6943431008
1.6543708742	1.6943318228
1.6550510102	1.6943205376
1.6557311462	1.6943092453
1.6564112823	1.6942979459
1.6570914183	1.6942866394
1.6577715543	1.6942753258
1.6584516903	1.6942640051
1.6591318264	1.6942526774
1.6598119624	1.6942413426
1.6604920984	1.6942300007
1.6611722344	1.6942186518
1.6618523705	1.6942072959
1.6625325065	1.694195933
1.6632126425	1.6941845631
1.6638927786	1.6941731861
1.6645729146	1.6941618022
1.6652530506	1.6941504113
1.6659331866	1.6941390135
1.6666133227	1.6941276087
1.6672934587	1.6941161969
1.6679735947	1.6941047783
1.6686537307	1.6940933527
1.6693338668	1.6940819201
1.6700140028	1.6940704807
1.6706941388	1.6940590344
1.6713742749	1.6940475813
1.6720544109	1.6940361212
1.6727345469	1.6940246543
1.6734146829	1.6940131806
1.674094819	1.6940017
1.674774955	1.6939902125
1.675455091	1.6939787183
1.676135227	1.6939672173
1.6768153631	1.6939557094
1.6774954991	1.6939441948
1.6781756351	1.6939326734
1.6788557712	1.6939211453
1.6795359072	1.6939096104
1.6802160432	1.6938980687
1.6808961792	1.6938865204
1.6815763153	1.6938749653
1.6822564513	1.6938634035
1.6829365873	1.693851835
1.6836167233	1.6938402598
1.6842968594	1.6938286779
1.6849769954	1.6938170893
1.6856571314	1.6938054941
1.6863372675	1.6937938923
1.6870174035	1.6937822838
1.6876975395	1.6937706687
1.6883776755	1.693759047
1.6890578116	1.6937474186
1.6897379476	1.6937357837
1.6904180836	1.6937241422
1.6910982196	1.6937124941
1.6917783557	1.6937008395
1.6924584917	1.6936891783
1.6931386277	1.6936775106
1.6938187638	1.6936658363
1.6944988998	1.6936541555
1.6951790358	1.6936424682
1.6958591718	1.6936307744
1.6965393079	1.6936190741
1.6972194439	1.6936073674
1.6978995799	1.6935956541
1.6985797159	1.6935839344
1.699259852	1.6935722083
1.699939988	1.6935604757
1.700620124	1.6935487367
1.7013002601	1.6935369913
1.7019803961	1.6935252395
1.7026605321	1.6935134813
1.7033406681	1.6935017167
1.7040208042	1.6934899458
1.7047009402	1.6934781684
1.7053810762	1.6934663848
1.7060612122	1.6934545947
1.7067413483	1.6934427984
1.7074214843	1.6934309957
1.7081016203	1.6934191867
1.7087817564	1.6934073715
1.7094618924	1.6933955499
1.7101420284	1.6933837221
1.7108221644	1.693371888
1.7115023005	1.6933600476
1.7121824365	1.693348201
1.7128625725	1.6933363481
1.7135427085	1.6933244891
1.7142228446	1.6933126238
1.7149029806	1.6933007523
1.7155831166	1.6932888746
1.7162632527	1.6932769907
1.7169433887	1.6932651007
1.7176235247	1.6932532045
1.7183036607	1.6932413022
1.7189837968	1.6932293937
1.7196639328	1.693217479
1.7203440688	1.6932055583
1.7210242048	1.6931936314
1.7217043409	1.6931816985
1.7223844769	1.6931697595
1.7230646129	1.6931578144
1.7237447489	1.6931458632
1.724424885	1.6931339059
1.725105021	1.6931219427
1.725785157	1.6931099733
1.7264652931	1.693097998
1.7271454291	1.6930860167
1.7278255651	1.6930740293
1.7285057011	1.6930620359
1.7291858372	1.6930500366
1.7298659732	1.6930380313
1.7305461092	1.69302602
1.7312262452	1.6930140028
1.7319063813	1.6930019797
1.7325865173	1.6929899506
1.7332666533	1.6929779156
1.7339467894	1.6929658747
1.7346269254	1.6929538279
1.7353070614	1.6929417752
1.7359871974	1.6929297166
1.7366673335	1.6929176521
1.7373474695	1.6929055819
1.7380276055	1.6928935057
1.7387077415	1.6928814237
1.7393878776	1.6928693359
1.7400680136	1.6928572423
1.7407481496	1.6928451429
1.7414282857	1.6928330377
1.7421084217	1.6928209267
1.7427885577	1.6928088099
1.7434686937	1.6927966874
1.7441488298	1.6927845592
1.7448289658	1.6927724251
1.7455091018	1.6927602854
1.7461892378	1.6927481399
1.7468693739	1.6927359888
1.7475495099	1.6927238319
1.7482296459	1.6927116694
1.748909782	1.6926995011
1.749589918	1.6926873272
1.750270054	1.6926751477
1.75095019	1.6926629625
1.7516303261	1.6926507717
1.7523104621	1.6926385752
1.7529905981	1.6926263732
1.7536707341	1.6926141655
1.7543508702	1.6926019522
1.7550310062	1.6925897334
1.7557111422	1.692577509
1.7563912783	1.692565279
1.7570714143	1.6925530435
1.7577515503	1.6925408024
1.7584316863	1.6925285558
1.7591118224	1.6925163037
1.7597919584	1.6925040461
1.7604720944	1.692491783
1.7611522304	1.6924795144
1.7618323665	1.6924672404
1.7625125025	1.6924549608
1.7631926385	1.6924426758
1.7638727746	1.6924303854
1.7645529106	1.6924180895
1.7652330466	1.6924057882
1.7659131826	1.6923934815
1.7665933187	1.6923811694
1.7672734547	1.6923688519
1.7679535907	1.692356529
1.7686337267	1.6923442008
1.7693138628	1.6923318672
1.7699939988	1.6923195282
1.7706741348	1.6923071839
1.7713542709	1.6922948343
1.7720344069	1.6922824793
1.7727145429	1.6922701191
1.7733946789	1.6922577535
1.774074815	1.6922453827
1.774754951	1.6922330066
1.775435087	1.6922206252
1.776115223	1.6922082386
1.7767953591	1.6921958467
1.7774754951	1.6921834496
1.7781556311	1.6921710473
1.7788357672	1.6921586398
1.7795159032	1.692146227
1.7801960392	1.6921338091
1.7808761752	1.692121386
1.7815563113	1.6921089577
1.7822364473	1.6920965243
1.7829165833	1.6920840857
1.7835967193	1.6920716419
1.7842768554	1.6920591931
1.7849569914	1.6920467391
1.7856371274	1.69203428
1.7863172635	1.6920218159
1.7869973995	1.6920093466
1.7876775355	1.6919968723
1.7883576715	1.6919843929
1.7890378076	1.6919719084
1.7897179436	1.6919594189
1.7903980796	1.6919469244
1.7910782156	1.6919344248
1.7917583517	1.6919219203
1.7924384877	1.6919094107
1.7931186237	1.6918968961
1.7937987598	1.6918843766
1.7944788958	1.6918718521
1.7951590318	1.6918593226
1.7958391678	1.6918467882
1.7965193039	1.6918342489
1.7971994399	1.6918217046
1.7978795759	1.6918091554
1.7985597119	1.6917966013
1.799239848	1.6917840423
1.799919984	1.6917714784
1.80060012	1.6917589097
1.8012802561	1.691746336
1.8019603921	1.6917337575
1.8026405281	1.6917211742
1.8033206641	1.6917085859
1.8040008002	1.6916959928
1.8046809362	1.6916833947
1.8053610722	1.6916707918
1.8060412082	1.6916581841
1.8067213443	1.6916455714
1.8074014803	1.6916329539
1.8080816163	1.6916203315
1.8087617524	1.6916077042
1.8094418884	1.691595072
1.8101220244	1.6915824349
1.8108021604	1.6915697929
1.8114822965	1.6915571461
1.8121624325	1.6915444943
1.8128425685	1.6915318377
1.8135227045	1.6915191762
1.8142028406	1.6915065098
1.8148829766	1.6914938385
1.8155631126	1.6914811623
1.8162432486	1.6914684812
1.8169233847	1.6914557952
1.8176035207	1.6914431043
1.8182836567	1.6914304085
1.8189637928	1.6914177078
1.8196439288	1.6914050023
1.8203240648	1.6913922918
1.8210042008	1.6913795764
1.8216843369	1.6913668561
1.8223644729	1.691354131
1.8230446089	1.6913414009
1.8237247449	1.6913286659
1.824404881	1.691315926
1.825085017	1.6913031812
1.825765153	1.6912904315
1.8264452891	1.6912776769
1.8271254251	1.6912649173
1.8278055611	1.6912521529
1.8284856971	1.6912393835
1.8291658332	1.6912266093
1.8298459692	1.6912138301
1.8305261052	1.691201046
1.8312062412	1.691188257
1.8318863773	1.6911754631
1.8325665133	1.6911626643
1.8332466493	1.6911498605
1.8339267854	1.6911370519
1.8346069214	1.6911242383
1.8352870574	1.6911114198
1.8359671934	1.6910985964
1.8366473295	1.691085768
1.8373274655	1.6910729347
1.8380076015	1.6910600965
1.8386877375	1.6910472534
1.8393678736	1.6910344054
1.8400480096	1.6910215524
1.8407281456	1.6910086945
1.8414082817	1.6909958317
1.8420884177	1.6909829639
1.8427685537	1.6909700912
1.8434486897	1.6909572136
1.8441288258	1.6909443311
1.8448089618	1.6909314436
1.8454890978	1.6909185512
1.8461692338	1.6909056538
1.8468493699	1.6908927515
1.8475295059	1.6908798443
1.8482096419	1.6908669322
1.848889778	1.6908540151
1.849569914	1.690841093
1.85025005	1.690828166
1.850930186	1.6908152341
1.8516103221	1.6908022973
1.8522904581	1.6907893554
1.8529705941	1.6907764087
1.8536507301	1.690763457
1.8543308662	1.6907505004
1.8550110022	1.6907375388
1.8556911382	1.6907245722
1.8563712743	1.6907116008
1.8570514103	1.6906986243
1.8577315463	1.6906856429
1.8584116823	1.6906726566
1.8590918184	1.6906596653
1.8597719544	1.6906466691
1.8604520904	1.6906336679
1.8611322264	1.6906206617
1.8618123625	1.6906076506
1.8624924985	1.6905946346
1.8631726345	1.6905816136
1.8638527706	1.6905685876
1.8645329066	1.6905555566
1.8652130426	1.6905425207
1.8658931786	1.6905294799
1.8665733147	1.6905164341
1.8672534507	1.6905033833
1.8679335867	1.6904903275
1.8686137227	1.6904772668
1.8692938588	1.6904642011
1.8699739948	1.6904511305
1.8706541308	1.6904380549
1.8713342669	1.6904249743
1.8720144029	1.6904118887
1.8726945389	1.6903987982
1.8733746749	1.6903857027
1.874054811	1.6903726022
1.874734947	1.6903594968
1.875415083	1.6903463864
1.876095219	1.690333271
1.8767753551	1.6903201506
1.8774554911	1.6903070253
1.8781356271	1.690293895
1.8788157632	1.6902807597
1.8794958992	1.6902676194
1.8801760352	1.6902544741
1.8808561712	1.6902413239
1.8815363073	1.6902281686
1.8822164433	1.6902150084
1.8828965793	1.6902018432
1.8835767153	1.6901886731
1.8842568514	1.6901754979
1.8849369874	1.6901623177
1.8856171234	1.6901491326
1.8862972595	1.6901359425
1.8869773955	1.6901227474
1.8876575315	1.6901095472
1.8883376675	1.6900963421
1.8890178036	1.690083132
1.8896979396	1.690069917
1.8903780756	1.6900566969
1.8910582116	1.6900434718
1.8917383477	1.6900302417
1.8924184837	1.6900170066
1.8930986197	1.6900037666
1.8937787558	1.6899905215
1.8944588918	1.6899772714
1.8951390278	1.6899640164
1.8958191638	1.6899507563
1.8964992999	1.6899374912
1.8971794359	1.6899242211
1.8978595719	1.689910946
1.8985397079	1.689897666
1.899219844	1.6898843809
1.89989998	1.6898710908
1.900580116	1.6898577956
1.9012602521	1.6898444955
1.9019403881	1.6898311904
1.9026205241	1.6898178802
1.9033006601	1.6898045651
1.9039807962	1.6897912449
1.9046609322	1.6897779197
1.9053410682	1.6897645895
1.9060212042	1.6897512543
1.9067013403	1.6897379141
1.9073814763	1.6897245689
1.9080616123	1.6897112186
1.9087417483	1.6896978633
1.9094218844	1.689684503
1.9101020204	1.6896711377
1.9107821564	1.6896577673
1.9114622925	1.689644392
1.9121424285	1.6896310116
1.9128225645	1.6896176261
1.9135027005	1.6896042357
1.9141828366	1.6895908402
1.9148629726	1.6895774397
1.9155431086	1.6895640342
1.9162232446	1.6895506236
1.9169033807	1.689537208
1.9175835167	1.6895237874
1.9182636527	1.6895103618
1.9189437888	1.6894969311
1.9196239248	1.6894834954
1.9203040608	1.6894700546
1.9209841968	1.6894566088
1.9216643329	1.689443158
1.9223444689	1.6894297021
1.9230246049	1.6894162412
1.9237047409	1.6894027753
1.924384877	1.6893893043
1.925065013	1.6893758283
1.925745149	1.6893623472
1.9264252851	1.6893488611
1.9271054211	1.6893353699
1.9277855571	1.6893218737
1.9284656931	1.6893083725
1.9291458292	1.6892948662
1.9298259652	1.6892813548
1.9305061012	1.6892678385
1.9311862372	1.689254317
1.9318663733	1.6892407905
1.9325465093	1.689227259
1.9332266453	1.6892137224
1.9339067814	1.6892001807
1.9345869174	1.689186634
1.9352670534	1.6891730823
1.9359471894	1.6891595255
1.9366273255	1.6891459636
1.9373074615	1.6891323967
1.9379875975	1.6891188247
1.9386677335	1.6891052476
1.9393478696	1.6890916655
1.9400280056	1.6890780783
1.9407081416	1.6890644861
1.9413882777	1.6890508888
1.9420684137	1.6890372864
1.9427485497	1.689023679
1.9434286857	1.6890100665
1.9441088218	1.688996449
1.9447889578	1.6889828263
1.9454690938	1.6889691986
1.9461492298	1.6889555659
1.9468293659	1.688941928
1.9475095019	1.6889282851
1.9481896379	1.6889146371
1.948869774	1.6889009841
1.94954991	1.6888873259
1.950230046	1.6888736627
1.950910182	1.6888599945
1.9515903181	1.6888463211
1.9522704541	1.6888326426
1.9529505901	1.6888189591
1.9536307261	1.6888052705
1.9543108622	1.6887915769
1.9549909982	1.6887778781
1.9556711342	1.6887641742
1.9563512703	1.6887504653
1.9570314063	1.6887367513
1.9577115423	1.6887230322
1.9583916783	1.688709308
1.9590718144	1.6886955787
1.9597519504	1.6886818444
1.9604320864	1.6886681049
1.9611122224	1.6886543604
1.9617923585	1.6886406108
1.9624724945	1.688626856
1.9631526305	1.6886130962
1.9638327666	1.6885993313
1.9645129026	1.6885855613
1.9651930386	1.6885717862
1.9658731746	1.688558006
1.9665533107	1.6885442207
1.9672334467	1.6885304303
1.9679135827	1.6885166348
1.9685937187	1.6885028342
1.9692738548	1.6884890285
1.9699539908	1.6884752177
1.9706341268	1.6884614018
1.9713142629	1.6884475808
1.9719943989	1.6884337547
1.9726745349	1.6884199235
1.9733546709	1.6884060872
1.974034807	1.6883922458
1.974714943	1.6883783992
1.975395079	1.6883645476
1.976075215	1.6883506908
1.9767553511	1.6883368289
1.9774354871	1.688322962
1.9781156231	1.6883090899
1.9787957592	1.6882952127
1.9794758952	1.6882813303
1.9801560312	1.6882674429
1.9808361672	1.6882535503
1.9815163033	1.6882396527
1.9821964393	1.6882257499
1.9828765753	1.6882118419
1.9835567113	1.6881979289
1.9842368474	1.6881840108
1.9849169834	1.6881700875
1.9855971194	1.6881561591
1.9862772555	1.6881422255
1.9869573915	1.6881282869
1.9876375275	1.6881143431
1.9883176635	1.6881003942
1.9889977996	1.6880864402
1.9896779356	1.688072481
1.9903580716	1.6880585167
1.9910382076	1.6880445473
1.9917183437	1.6880305728
1.9923984797	1.6880165931
1.9930786157	1.6880026082
1.9937587518	1.6879886183
1.9944388878	1.6879746232
1.9951190238	1.687960623
1.9957991598	1.6879466176
1.9964792959	1.6879326071
1.9971594319	1.6879185915
1.9978395679	1.6879045707
1.9985197039	1.6878905448
1.99919984	1.6878765137
1.999879976	1.6878624775
2.000560112	1.6878484362
2.001240248	1.6878343897
2.0019203841	1.687820338
2.0026005201	1.6878062813
2.0032806561	1.6877922194
2.0039607922	1.6877781524
2.0046409282	1.6877640802
2.0053210642	1.6877500029
2.0060012002	1.6877359205
2.0066813363	1.687721833
2.0073614723	1.6877077403
2.0080416083	1.6876936426
2.0087217443	1.6876795397
2.0094018804	1.6876654317
2.0100820164	1.6876513186
2.0107621524	1.6876372004
2.0114422885	1.6876230771
2.0121224245	1.6876089487
2.0128025605	1.6875948152
2.0134826965	1.6875806766
2.0141628326	1.6875665329
2.0148429686	1.6875523841
2.0155231046	1.6875382302
2.0162032406	1.6875240713
2.0168833767	1.6875099072
2.0175635127	1.6874957381
2.0182436487	1.6874815639
2.0189237848	1.6874673846
2.0196039208	1.6874532003
2.0202840568	1.6874390109
2.0209641928	1.6874248164
2.0216443289	1.6874106169
2.0223244649	1.6873964123
2.0230046009	1.6873822026
2.0236847369	1.6873679879
2.024364873	1.6873537681
2.025045009	1.6873395433
2.025725145	1.6873253134
2.0264052811	1.6873110785
2.0270854171	1.6872968385
2.0277655531	1.6872825935
2.0284456891	1.6872683434
2.0291258252	1.6872540883
2.0298059612	1.6872398282
2.0304860972	1.6872255631
2.0311662332	1.6872112929
2.0318463693	1.6871970177
2.0325265053	1.6871827375
2.0332066413	1.6871684522
2.0338867774	1.6871541619
2.0345669134	1.6871398667
2.0352470494	1.6871255664
2.0359271854	1.6871112611
2.0366073215	1.6870969507
2.0372874575	1.6870826354
2.0379675935	1.6870683151
2.0386477295	1.6870539898
2.0393278656	1.6870396595
2.0400080016	1.6870253241
2.0406881376	1.6870109838
2.0413682737	1.6869966385
2.0420484097	1.6869822882
2.0427285457	1.686967933
2.0434086817	1.6869535727
2.0440888178	1.6869392075
2.0447689538	1.6869248373
2.0454490898	1.6869104621
2.0461292258	1.6868960819
2.0468093619	1.6868816968
2.0474894979	1.6868673067
2.0481696339	1.6868529116
2.04884977	1.6868385116
2.049529906	1.6868241066
2.050210042	1.6868096967
2.050890178	1.6867952818
2.0515703141	1.686780862
2.0522504501	1.6867664372
2.0529305861	1.6867520074
2.0536107221	1.6867375727
2.0542908582	1.6867231331
2.0549709942	1.6867086886
2.0556511302	1.6866942391
2.0563312663	1.6866797846
2.0570114023	1.6866653253
2.0576915383	1.686650861
2.0583716743	1.6866363917
2.0590518104	1.6866219176
2.0597319464	1.6866074385
2.0604120824	1.6865929546
2.0610922184	1.6865784657
2.0617723545	1.6865639719
2.0624524905	1.6865494731
2.0631326265	1.6865349695
2.0638127626	1.686520461
2.0644928986	1.6865059475
2.0651730346	1.6864914292
2.0658531706	1.686476906
2.0665333067	1.6864623778
2.0672134427	1.6864478448
2.0678935787	1.6864333069
2.0685737147	1.6864187641
2.0692538508	1.6864042164
2.0699339868	1.6863896639
2.0706141228	1.6863751064
2.0712942589	1.6863605441
2.0719743949	1.6863459769
2.0726545309	1.6863314048
2.0733346669	1.6863168279
2.074014803	1.6863022461
2.074694939	1.6862876594
2.075375075	1.6862730679
2.076055211	1.6862584715
2.0767353471	1.6862438703
2.0774154831	1.6862292642
2.0780956191	1.6862146532
2.0787757552	1.6862000374
2.0794558912	1.6861854168
2.0801360272	1.6861707913
2.0808161632	1.6861561609
2.0814962993	1.6861415258
2.0821764353	1.6861268858
2.0828565713	1.6861122409
2.0835367073	1.6860975913
2.0842168434	1.6860829368
2.0848969794	1.6860682774
2.0855771154	1.6860536133
2.0862572515	1.6860389443
2.0869373875	1.6860242705
2.0876175235	1.6860095919
2.0882976595	1.6859949085
2.0889777956	1.6859802203
2.0896579316	1.6859655273
2.0903380676	1.6859508294
2.0910182036	1.6859361268
2.0916983397	1.6859214193
2.0923784757	1.6859067071
2.0930586117	1.6858919901
2.0937387477	1.6858772682
2.0944188838	1.6858625416
2.0950990198	1.6858478102
2.0957791558	1.685833074
2.0964592919	1.6858183331
2.0971394279	1.6858035873
2.0978195639	1.6857888368
2.0984996999	1.6857740815
2.099179836	1.6857593214
2.099859972	1.6857445566
2.100540108	1.685729787
2.101220244	1.6857150126
2.1019003801	1.6857002335
